HUGGOMetaData;;;;;;;;;;;
;manyID;Title;Signature;Force;url;End;Checked_HUGGO;Parties;No_source;MetaData_confirmed;treatyID
1;GATT_1947O;GATT471947;30/10/1947;01/01/1948;https://www.wto.org/english/docs_e/legal_e/gatt47_e.pdf;NA;1;Australia, Belgium, Brazil, Burma, Canada, Ceylon, Chile, China, Cuba, Czechoslovakia, France, India, Lebanon, Luxembourg, Netherlands, New Zealand, Norway, Pakistan, Southern Rhodesia, Syria, South Africa, United Kingdom and the United States;NA;1;GATT_1947O
2;ZAF-ZWE[RCU]_1948O;South Africa Southern Rhodesia Customs Union;06/12/1948;01/04/1949;https://www.wto.org/gatt_docs/English/SULPDF/90320154.pdf;NA;1;South Africa, Southern Rhodesia;NA;2;ZAF-ZWE[RCU]_1948O
3;BTN-IND[NA]_1949O:BTN-IND[NA]_1949O;Bhutan India;08/08/1949;NA;https://mea.gov.in/bilateral-documents.htm?dtl/5242/treaty+or+perpetual+p;NA;1;Bhutan, India;NA;2;BTN-IND[NA]_1949O:BTN-IND[NA]_1949O
4;ERPCSC_1951O;European Coal And Steel Community;18/04/1951;23/07/1952;https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:11951K:EN:PDF;23/07/2002;1;Belgium, France, Italy, Luxembourg, the Netherlands, West Germany;NA;1;ERPCSC_1951O
5;NIC-SLV[FTA]_1951O;El Salvador Nicaragua Free Trade Area;09/03/1951;21/08/1951;https://raw.github.com/mappingtreaties/tota/master/xml/pta_254.xml;NA;NA;;1;NA;NIC-SLV[FTA]_1951O
6;IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O;Iraq Jordan;01/01/1953;01/01/1953;NA;NA;NA;;1;NA;IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O
7;ARTTTT_1953A;Arab Trade Convention Treaty On Transit Trade;07/09/1953;01/01/1953;https://www.wto.org/gatt_docs/English/SULPDF/90760427.pdf;NA;1;Jordan, Syria, Iraq, Saudi Arabia, Lebanon, Libya, Egypt, Yemen;NA;2;ARTTTT_1953A
8;CAN-PRT[NA]_1954O;Canada Portugal;28/05/1954;01/07/1954;https://www.treaty-accord.gc.ca/text-texte.aspx?id=100572;NA;1;Canada, Portugal;NA;2;CAN-PRT[NA]_1954O
9;CAN-ESP[NA]_1954O;Canada Spain;26/05/1954;01/01/1954;https://www.treaty-accord.gc.ca/text-texte.aspx?id=100588;NA;1;Canada, Spain;NA;2;CAN-ESP[NA]_1954O
10;FRA-TUN[CSU]_1955A;France Tunisia Customs Union Convention;01/01/1955;01/01/1956;NA;NA;NA;;1;NA;FRA-TUN[CSU]_1955A
11;SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O;Saudi Arabia Syria;01/01/1955;NA;NA;NA;NA;;1;NA;SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O
12;EC_1957O;EC;01/01/1957;01/01/1958;NA;NA;NA;;1;NA;EC_1957O
13;IRQ-SAU[SDA]_1957O;Iraq Saudi Arabia;01/01/1957;NA;NA;NA;NA;;NA;NA;IRQ-SAU[SDA]_1957O
14;LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O;Lebanon Saudi Arabia;01/01/1957;NA;NA;NA;NA;;NA;NA;LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O
15;ECTRTY_1957A;EC Treaty;25/03/1957;01/01/1958;https://raw.github.com/mappingtreaties/tota/master/xml/pta_110.xml;NA;NA;;NA;NA;ECTRTY_1957A
16;EC_1957A;EC (Treaty Of Rome);25/03/1957;01/01/1958;https://wits.worldbank.org/GPTAD/PDF/archive/ECTreatyofRome.pdf;NA;NA;;NA;NA;EC_1957A
17;BNLXEU_1958O;Benelux Economic Union;03/02/1958;01/01/1960;https://www.beneluxparl.eu/wp-content/uploads/documents/09_Verdragen/1958-Trait%C3%A9-instituant-lUnion-%C3%A9conomique-Benelux.pdf;NA;1;Belgium, Netherlands, Luxembourg;NA;2;BNLXEU_1958O
18;EGY-SAU[SDA]_1958O:EGY-SAU[SDA]_1958O;Egypt Saudi Arabia;01/01/1958;NA;NA;NA;NA;;NA;NA;EGY-SAU[SDA]_1958O:EGY-SAU[SDA]_1958O
19;EGY-SYR[SYR]_1958O:EGY-SYR[SYR]_1958O;Egypt Syria;01/01/1958;NA;NA;NA;NA;;NA;NA;EGY-SYR[SYR]_1958O:EGY-SYR[SYR]_1958O
20;IND-JPN[NA]_1958O;India Japan;04/02/1958;NA;https://wits.worldbank.org/GPTAD/PDF/archive/india-japan.pdf;NA;1;India, Japan;NA;2;IND-JPN[NA]_1958O
21;CNAFTA_1958O;Central American Free Trade Area;10/06/1958;02/06/1959;https://treaties.un.org/doc/Publication/UNTS/Volume%20770/volume-770-I-10996-English.pdf;NA;1;Guatemala, El Salvador, Honduras, Nicaragua, Costa Rica;NA;2;CNAFTA_1958O
22;EQTRCU_1959O;Equatorial Customs Union;23/06/1959;01/07/1962;https://www.wto.org/gatt_docs/English/SULPDF/90760372.pdf;NA;1;Cameroon, Central African Republic, Congo, Chad, Gabon;NA;2;EQTRCU_1959O
23;WSTACU_1959O;West African Customs Union (UDAO);01/01/1959;NA;NA;NA;NA;;NA;NA;WSTACU_1959O
24;EQCUCA_1959O;Equatorial Customs Union Cameroon Association;23/06/1959;01/07/1962;https://raw.github.com/mappingtreaties/tota/master/xml/pta_255.xml;NA;NA;;NA;NA;EQCUCA_1959O
25;AUS-CAN[NA]_1960O;Australia Canada;12/02/1960;30/06/1960;http://www.austlii.edu.au/au/other/dfat/treaties/ATS/1960/5.html;NA;1;Australia, Canada;NA;2;AUS-CAN[NA]_1960O
26;EFTA_1960O;EFTA;04/01/1960;03/05/1960;https://www.efta.int/sites/default/files/documents/Vaduz_Convention_Agreement_Updated_1_November_2021.pdf;NA;1;Austria, Denmark, Norway, Portugal, Sweden, Switzerland, United Kingdom;NA;1;EFTA_1960O
27;FIN-RUS[NA]_1960O;Finland USSR;01/01/1960;NA;NA;NA;NA;Finland, Soviet Union;1;NA;FIN-RUS[NA]_1960O
28;TRTYEA_1960A;Treaty Of Economic Association;01/01/1960;01/01/1961;NA;NA;NA;;1;NA;TRTYEA_1960A
29;ERPFTA_1960O;European Free Trade Association (EFTA);04/01/1960;03/05/1960;https://raw.github.com/mappingtreaties/tota/master/xml/pta_138.xml;NA;NA;;NA;NA;ERPFTA_1960O
30;LTAFTA_1960O;Latin American Free Trade Area (LAFTA);18/02/1960;02/01/1962;https://docs.wto.org/gattdocs/q/GG/L1799/1157.PDF;12/08/1980;1;Argentina, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, Uruguay;NA;1;LTAFTA_1960O
31;EFTA_1960A;EFTA (Stockholm Convention);01/04/1960;05/03/1960;https://wits.worldbank.org/GPTAD/PDF/archive/EFTA(StockholmConvention).pdf;NA;NA;;NA;NA;EFTA_1960A
32;CNTACM_1960O;Central American Common Market (CACM);13/12/1960;04/06/1961;http://www.sice.oas.org/Trade/sica/PDF/TratadoGralIntegracion60.pdf;NA;1;Guatemala, Honduras, El Salvador, Nicaragua, Costa Rica;NA;2;CNTACM_1960O
33;CSTRNP_1961O;Costa Rica Nicaragua Panama;01/01/1961;01/01/1962;NA;NA;NA;;1;NA;CSTRNP_1961O
