"","manyID","Title","Beg","Signature","Force","treatyID"
"1","GATT_1947O","GATT471947","1947-01-01","1947-01-01","1947-01-01","GATT_1947O"
"2","ZAF-ZWE[RCU]_1948O","South Africa Southern Rhodesia Customs Union","1948-12-06","1948-12-06","1949-04-01","ZAF-ZWE[RCU]_1948O"
"3","BTN-IND[NA]_1949O:BTN-IND[NA]_1949O","Bhutan India","1949-01-01","1949-01-01",NA,"BTN-IND[NA]_1949O:BTN-IND[NA]_1949O"
"4","ERPCSC_1951O","European Coal And Steel Community","1951-01-01","1951-01-01","1952-01-01","ERPCSC_1951O"
"5","NIC-SLV[FTA]_1951O","El Salvador Nicaragua Free Trade Area","1951-03-09","1951-03-09","1951-08-21","NIC-SLV[FTA]_1951O"
"6","IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O","Iraq Jordan","1953-01-01","1953-01-01","1953-01-01","IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O"
"7","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-01-01","1953-01-01","1953-01-01","ARTTTT_1953A"
"8","CAN-PRT[NA]_1954O","Canada Portugal","1954-01-01","1954-01-01","1954-01-01","CAN-PRT[NA]_1954O"
"9","CAN-ESP[NA]_1954O","Canada Spain","1954-01-01","1954-01-01","1954-01-01","CAN-ESP[NA]_1954O"
"10","FRA-TUN[CSU]_1955A","France Tunisia Customs Union Convention","1955-01-01","1955-01-01","1956-01-01","FRA-TUN[CSU]_1955A"
"11","SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O","Saudi Arabia Syria","1955-01-01","1955-01-01",NA,"SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O"
"12","EC_1957O","EC","1957-01-01","1957-01-01","1958-01-01","EC_1957O"
"13","IRQ-SAU[SDA]_1957O","Iraq Saudi Arabia","1957-01-01","1957-01-01",NA,"IRQ-SAU[SDA]_1957O"
"14","LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1957-01-01","1957-01-01",NA,"LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O"
"15","ECTRTY_1957A","EC Treaty","1957-03-25","1957-03-25","1958-01-01","ECTRTY_1957A"
"16","EC_1957A","EC (Treaty Of Rome)","1957-03-25","1957-03-25","1958-01-01","EC_1957A"
"17","BNLXEU_1958O","Benelux Economic Union","1958-01-01","1958-01-01","1960-01-01","BNLXEU_1958O"
"18","EGY-SAU[SDA]_1958O:EGY-SAU[SDA]_1958O","Egypt Saudi Arabia","1958-01-01","1958-01-01",NA,"EGY-SAU[SDA]_1958O:EGY-SAU[SDA]_1958O"
"19","EGY-SYR[SYR]_1958O:EGY-SYR[SYR]_1958O","Egypt Syria","1958-01-01","1958-01-01",NA,"EGY-SYR[SYR]_1958O:EGY-SYR[SYR]_1958O"
"20","IND-JPN[NA]_1958O","India Japan","1958-04-02","1958-04-02",NA,"IND-JPN[NA]_1958O"
"21","CNAFTA_1958O","Central American Free Trade Area","1958-06-10","1958-06-10","1959-06-02","CNAFTA_1958O"
"22","EQTRCU_1959O","Equatorial Customs Union","1959-01-01","1959-01-01","1960-01-01","EQTRCU_1959O"
"23","WSTACU_1959O","West African Customs Union (UDAO)","1959-01-01","1959-01-01",NA,"WSTACU_1959O"
"24","EQCUCA_1959O","Equatorial Customs Union Cameroon Association","1959-06-23","1959-06-23","1962-07-01","EQCUCA_1959O"
"25","AUS-CAN[NA]_1960O","Australia Canada","1960-01-01","1960-01-01","1960-01-01","AUS-CAN[NA]_1960O"
"26","EFTA_1960O","EFTA","1960-01-01","1960-01-01","1960-01-01","EFTA_1960O"
"27","FIN-RUS[NA]_1960O","Finland USSR","1960-01-01","1960-01-01",NA,"FIN-RUS[NA]_1960O"
"28","TRTYEA_1960A","Treaty Of Economic Association","1960-01-01","1960-01-01","1961-01-01","TRTYEA_1960A"
"29","ERPFTA_1960O","European Free Trade Association (EFTA)","1960-01-04","1960-01-04","1960-05-03","ERPFTA_1960O"
"30","LTAFTA_1960O","Latin American Free Trade Area (LAFTA)","1960-02-18","1960-02-18","1961-06-02","LTAFTA_1960O"
"31","EFTA_1960A","EFTA (Stockholm Convention)","1960-04-01","1960-04-01","1960-03-05","EFTA_1960A"
"32","CNTACM_1960O","Central American Common Market (CACM)","1960-12-13","1960-12-13","1961-06-04","CNTACM_1960O"
"33","CSTRNP_1961O","Costa Rica Nicaragua Panama","1961-01-01","1961-01-01","1962-01-01","CSTRNP_1961O"
"34","EFTFNL_1961O","EFTA Finland","1961-01-01","1961-01-01","1961-01-01","EFTFNL_1961O"
"35","IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O","Iraq Syria","1961-01-01","1961-01-01",NA,"IRQ-SYR[SYR]_1961O:IRQ-SYR[SYR]_1961O"
"36","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","1961-01-01","1961-01-01","EQCUCA_1961O"
"37","BFA-GHA[UVT]_1961A","Ghana Upper Volta Trade Agreement","1961-06-28","1961-06-28","1962-05-09","BFA-GHA[UVT]_1961A"
"38","GRC-EC[ECA]_1961A","EEC Greece Association Agreement","1961-07-09","1961-07-09","1962-11-01","GRC-EC[ECA]_1961A"
"39","BRNFTA_1961O","Borneo Free Trade Area","1961-10-24","1961-10-24","1962-01-01","BRNFTA_1961O"
"40","ARBCMM_1962O","Arab Common Market","1962-01-01","1962-01-01","1964-01-01","ARBCMM_1962O"
"41","JOR-SAU[SDA]_1962O","Jordan Saudi Arabia","1962-01-01","1962-01-01","1962-01-01","JOR-SAU[SDA]_1962O"
"42","SEN-TUN[NA]_1962O","Senegal Tunisia","1962-01-01","1962-01-01",NA,"SEN-TUN[NA]_1962O"
"43","AFRCCM_1962O","African Common Market","1962-04-01","1962-04-01","1963-07-01","AFRCCM_1962O"
"44","ECTRKA_1963A","EC Turkey Association Agreement (Ankara Agreement)","1963-01-01","1963-01-01","1964-01-01","ECTRKA_1963A"
"45","FRA-MCO[NA]_1963O","France Monaco","1963-01-01","1963-01-01","1963-01-01","FRA-MCO[NA]_1963O"
"46","MAR-SEN[NA]_1963O","Morocco Senegal","1963-01-01","1963-01-01","1963-01-01","MAR-SEN[NA]_1963O"
"47","YAONDI_1963O","Yaounde I1963","1963-01-01","1963-01-01","1963-01-01","YAONDI_1963O"
"48","YAOUND_1963O1:YAOUND_1963O1","Yaounde 1","1963-07-20","1963-07-20","1964-01-01","YAOUND_1963O1:YAOUND_1963O1"
"49","TUR-EC[ECA]_1963A","EEC Turkey Association Agreement Of 1963","1963-09-12","1963-09-12","1964-12-01","TUR-EC[ECA]_1963A"
"50","CNACEU_1964O","Central African Customs And Economic Union (UDEAC)","1964-01-01","1964-01-01","1966-01-01","CNACEU_1964O"
"51","ZAF-ZWE[NA]_1964O:ZAF-ZWE[NA]_1964O","South Africa Zimbabwe","1964-01-01","1964-01-01","1964-01-01","ZAF-ZWE[NA]_1964O:ZAF-ZWE[NA]_1964O"
"52","MRT-TUN[NA]_1964O","Mauritania Tunisia","1964-01-01","1964-01-01",NA,"MRT-TUN[NA]_1964O"
"53","ARBCMM_1964O","Arab Common Market","1964-08-13","1964-08-13","1965-01-01","ARBCMM_1964O"
"54","CAN-USA[APT]_1965A","Canada US Automotive Products Trade Agreement (APTA)","1965-01-01","1965-01-01","1966-01-01","CAN-USA[APT]_1965A"
"55","JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O","Jordan Syria","1965-01-01","1965-01-01","1965-01-01","JOR-SYR[SYR]_1965O:JOR-SYR[SYR]_1965O"
"56","AUS-NZL[FRT]_1965A","Australia New Zealand Free Trade Agreement","1965-08-31","1965-08-31","1966-01-01","AUS-NZL[FRT]_1965A"
"57","GBR-IRL[FTA]_1965O","Ireland United Kingdom Free Trade Area","1965-12-14","1965-12-14","1966-07-01","GBR-IRL[FTA]_1965O"
"58","CRBFTA_1965O:CRBFTA_1965O","Caribbean Free Trade Association (CARIFTA)","1965-12-15","1965-12-15","1968-05-01","CRBFTA_1965O"
"59","JOR-SDN[SDN]_1966O:JOR-SDN[SDN]_1966O","Jordan Sudan","1966-01-01","1966-01-01","1966-01-01","JOR-SDN[SDN]_1966O:JOR-SDN[SDN]_1966O"
"60","CEUWAS_1966O","Customs And Economic Union Of West African States (UDEAO)","1966-01-01","1966-01-01","1966-01-01","CEUWAS_1966O"
"61","MAR-SAU[SDA]_1966O","Morocco Saudi Arabia","1966-01-01","1966-01-01","1968-01-01","MAR-SAU[SDA]_1966O"
"62","ESTAFC_1966O:ESTAFC_1966O","East African Community (EAC)","1966-01-01","1966-01-01","1966-01-01","ESTAFC_1966O:ESTAFC_1966O"
"63","EGY-JOR[NA]_1967O:EGY-JOR[NA]_1967O","Egypt Jordan","1967-01-01","1967-01-01","1967-01-01","EGY-JOR[NA]_1967O:EGY-JOR[NA]_1967O"
"64","IRQ-LBN[NA]_1967O:IRQ-LBN[NA]_1967O","Iraq Lebanon","1967-01-01","1967-01-01",NA,"IRQ-LBN[NA]_1967O:IRQ-LBN[NA]_1967O"
"65","MWI-ZAF[NA]_1967A","Malawi South Africa","1967-01-01","1967-01-01",NA,"MWI-ZAF[NA]_1967A"
"66","KENNDY_1967P","Kennedy Protocols1967","1967-01-01","1967-01-01","1967-01-01","KENNDY_1967P"
"67","TRPRTT_1967A","Tripartite Agreement","1967-12-23","1967-12-23","1968-04-01","TRPRTT_1967A"
"68","ARUSHA_1968A1:ARUSHA_1968A1","Arusha Agreement 1","1968-01-01","1968-01-01","1971-01-01","ARUSHA_1968A1:ARUSHA_1968A1"
"69","ESTCCM_1968O","East Caribbean Common Market","1968-01-01","1968-01-01","1968-01-01","ESTCCM_1968O"
"70","CRBFTA_1968O:CRBFTA_1965O","Caribbean Free Trade Association (CARIFTA)1968","1968-01-01","1968-01-01","1968-01-01","CRBFTA_1968O:CRBFTA_1965O"
"71","ARUSHI_1968A","Arusha Agreement I1968","1968-01-01","1968-01-01","1968-01-01","ARUSHI_1968A"
"72","ANDNGC_1969A","Andean Group Cartagena Agreement","1969-01-01","1969-01-01","1969-01-01","ANDNGC_1969A"
"73","ARUSHA_1969A2:ARUSHA_1968A1","Arusha Agreement 2","1969-01-01","1969-01-01","1971-01-01","ARUSHA_1969A2:ARUSHA_1968A1"
"74","STHACU_1969O:STHACU_1969O","Southern Africa Customs Union (SACU)","1969-01-01","1969-01-01","1970-01-01","STHACU_1969O:STHACU_1969O"
"75","LBN-SDN[SDN]_1969O","Lebanon Sudan","1969-01-01","1969-01-01",NA,"LBN-SDN[SDN]_1969O"
"76","EFTICA_1969O","EFTA Iceland Accession1969","1969-01-01","1969-01-01","1969-01-01","EFTICA_1969O"
"77","ARUSHI_1969A","Arusha Agreement II1969","1969-01-01","1969-01-01","1969-01-01","ARUSHI_1969A"
"78","YAONDI_1969O","Yaounde II1969","1969-01-01","1969-01-01","1969-01-01","YAONDI_1969O"
"79","ECTNSA_1969A","EC Tunisia Association Agreement Of 1969","1969-03-28","1969-03-28","1969-09-01","ECTNSA_1969A"
"80","ECMRCA_1969A","EC Morocco Association Agreement Of 1969","1969-03-31","1969-03-31","1969-09-01","ECMRCA_1969A"
"81","YAOUND_1969O2:YAOUND_1963O1","Yaounde 2","1969-07-29","1969-07-29","1971-01-01","YAOUND_1969O2:YAOUND_1963O1"
"82","ARUSHA_1969A","Arusha Agreement","1969-09-24","1969-09-24","1971-01-01","ARUSHA_1969A"
"83","EFTACI_1969O","EFTA Accession Of Iceland","1969-12-04","1969-12-04","1970-03-01","EFTACI_1969O"
"84","ECISRL_1970O:ECISRL_1970O","EC Israel","1970-01-01","1970-01-01","1970-01-01","ECISRL_1970O:ECISRL_1970O"
"85","ECMALT_1970O","EC Malta","1970-01-01","1970-01-01","1971-01-01","ECMALT_1970O"
"86","ECSPAN_1970O","EC Spain","1970-01-01","1970-01-01","1970-01-01","ECSPAN_1970O"
"87","PAN-SLV[NA]_1970O","El Salvador Panamann","1970-02-06","1970-02-06","1970-01-01","PAN-SLV[NA]_1970O"
"88","ECMEVA_1970O:ECMEVA_1970O","EC Malta (English VersionVersion Anglaise)","1970-05-12","1970-05-12","1971-01-04","ECMEVA_1970O:ECMEVA_1970O"
"89","ECMFVF_1970O:ECMEVA_1970O","EC Malta (French VersionVersion Francaise)","1970-05-12","1970-05-12","1971-01-04","ECMFVF_1970O:ECMEVA_1970O"
"90","ECISRL_1970A","EC Israel Agreement Of 1970","1970-06-29","1970-06-29","1970-10-01","ECISRL_1970A"
"91","ECSPAN_1970A","EC Spain Agreement Of 1970","1970-06-29","1970-06-29","1970-10-01","ECSPAN_1970A"
"92","ECOVCT_1970O","EU Overseas Countries And Territories (OCT)","1970-09-29","1970-09-29","1971-01-01","EOVRCT_1970O"
"93","ECTRKA_1970P","EC Turkey Additional Protocol","1970-11-23","1970-11-23","1973-01-01","ECTRKA_1970P"
"94","ECMLTA_1970A","EC Malta Association Agreement","1970-12-05","1970-12-05","1971-04-01","ECMLTA_1970A"
"95","EC OCT_1971O","EC OCT","1971-01-01",NA,"1971-01-01","EC OCT_1971O"
"96","LBN-SAU[SDA]_1971O:LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1971-01-01","1971-01-01",NA,"LBN-SAU[SDA]_1971O:LBN-SAU[SDA]_1957O"
"97","TRDNGT_1971P","Protocol On Trade Negotiations (PTN)","1971-12-08","1971-12-08","1973-02-11","TRDNGT_1971P"
"98","ASTREC_1972O","Austria EC","1972-01-01","1972-01-01","1972-01-01","ASTREC_1972O"
"99","BTN-IND[NA]_1972O:BTN-IND[NA]_1949O","Bhutan India","1972-01-01","1972-01-01","1972-01-01","BTN-IND[NA]_1972O:BTN-IND[NA]_1949O"
"100","ECLBNN_1972O:ECLBNN_1972O","EC Lebanon","1972-01-01","1972-01-01","1973-01-01","ECLBNN_1972O:ECLBNN_1972O"
