manyID,Title,Signature,Force,url,End,Checked_HUGGO,No_source,MetaData_confirmed,treatyID
GATT_1947O,GATT471947,1947-10-30,1948-01-01,"""https://www.wto.org/english/docs_e/legal_e/gatt47_e.pdf""",NA,1,NA,1,GATT_1947O
ZAF-ZWE[RCU]_1948O,South Africa Southern Rhodesia Customs Union,1948-12-06,1949-04-01,"""https://www.wto.org/gatt_docs/English/SULPDF/90320154.pdf""",NA,1,NA,2,ZAF-ZWE[RCU]_1948O
BTN-IND[NA]_1949O:BTN-IND[NA]_1949O,Bhutan India,1949-08-08,NA,"""https://mea.gov.in/bilateral-documents.htm?dtl/5242/treaty+or+perpetual+p""",NA,1,NA,2,BTN-IND[NA]_1949O:BTN-IND[NA]_1949O
ERPCSC_1951O,European Coal And Steel Community,1951-04-18,1952-07-23,"""https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:11951K:EN:PDF""",2002-07-23,1,NA,1,ERPCSC_1951O
ARTTTT_1953A,Arab Trade Convention Treaty On Transit Trade,1953-09-07,,"""https://www.wto.org/gatt_docs/English/SULPDF/90760427.pdf""",NA,1,NA,2,ARTTTT_1953A
CAN-PRT[NA]_1954O,Canada Portugal,1954-05-28,1954-07-01,"""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100572""",NA,1,NA,2,CAN-PRT[NA]_1954O
CAN-ESP[NA]_1954O,Canada Spain,1954-05-26,1954-07-01,"""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100588""",NA,1,NA,2,CAN-ESP[NA]_1954O
BNLXEU_1958O,Benelux Economic Union,1958-02-03,1960-01-01,"""https://www.beneluxparl.eu/wp-content/uploads/documents/09_Verdragen/1958-Trait%C3%A9-instituant-lUnion-%C3%A9conomique-Benelux.pdf""",NA,1,NA,2,BNLXEU_1958O
IND-JPN[NA]_1958O,India Japan,1958-02-04,NA,"""https://wits.worldbank.org/GPTAD/PDF/archive/india-japan.pdf""",NA,1,NA,2,IND-JPN[NA]_1958O
CNAFTA_1958O,Central American Free Trade Area,1958-06-10,1959-06-02,"""https://treaties.un.org/doc/Publication/UNTS/Volume%20770/volume-770-I-10996-English.pdf""",NA,1,NA,2,CNAFTA_1958O
