"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes","StateRatification","StateSignature","StateForce","StateEnd","DataCollection"
"ZAF-ZWE[RCU]_1948O","ZAF-ZWE[RCU]_1948O","South Africa Southern Rhodesia Customs Union","1948-12-06","ZAF","1948-12-06","1949-04-01","South Africa",NA,"663",1,NA,"1948-12-06","1949-04-01",NA,2
"ZAF-ZWE[RCU]_1948O","ZAF-ZWE[RCU]_1948O","South Africa Southern Rhodesia Customs Union","1948-12-06","ZWE","1948-12-06","1949-04-01","Zimbabwe",NA,"663",1,NA,"1948-12-06","1949-04-01",NA,2
"BTN-IND[NA]_1949O","BTN-IND[NA]_1949O","Bhutan India","1949-08-08","BTN","1949-08-08",NA,"Bhutan",NA,"707",1,1949-09-15,NA,NA,NA,4
"BTN-IND[NA]_1949O","BTN-IND[NA]_1949O","Bhutan India","1949-08-08","IND","1949-08-08",NA,"India",NA,"707",1,1949-09-22,NA,NA,NA,4
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","BEL","1951-04-18","1952-07-23","Belgium",NA,"436",1,1952-02-05,"1951-04-18","1952-07-23",NA,3
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","DEU","1951-04-18","1952-07-23","Germany",NA,"436",1,1952-01-11,"1951-04-18","1952-07-23",NA,3
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","FRA","1951-04-18","1952-07-23","France",NA,"436",1,1952-04-01,"1951-04-18","1952-07-23",NA,3
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","ITA","1951-04-18","1952-07-23","Italy",NA,"436",1,1952-03-15,"1951-04-18","1952-07-23",NA,3
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","LUX","1951-04-18","1952-07-23","Luxembourg",NA,"436",1,1952-05-13,"1951-04-18","1952-07-23",NA,3
"ERPCSC_1951O","ERPCSC_1951O","European Coal And Steel Community","1951-04-18","NLD","1951-04-18","1952-07-23","Netherlands",NA,"436",1,1952-02-19,"1951-04-18","1952-07-23",NA,3
"NIC-SLV[FTA]_1951O","NIC-SLV[FTA]_1951O","El Salvador Nicaragua Free Trade Area","1951-03-09","NIC","1951-03-09","1951-08-21","Nicaragua",NA,"418",1,NA,NA,NA,NA,1
"NIC-SLV[FTA]_1951O","NIC-SLV[FTA]_1951O","El Salvador Nicaragua Free Trade Area","1951-03-09","SLV","1951-03-09","1951-08-21","El Salvador",NA,"418",1,NA,NA,NA,NA,1
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","EGY","1953-09-07",NA,"Egypt",NA,"695",1,1953-11-12,"19609",NA,NA,4
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","IRQ","1953-09-07",NA,"Iraq",NA,"695",1,1954-12-25,"19609",NA,NA,4
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","JOR","1953-09-07",NA,"Jordan",NA,"695",1,1953-10-27,"19609",NA,NA,4
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","KWT","1953-09-07",NA,"Kuwait",NA,"695",1,NA,NA,NA,NA,1
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","LBN","1953-09-07",NA,"Lebanon",NA,"695",1,1953-09-17,"19609",NA,NA,4
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","SAU","1953-09-07",NA,"Saudi Arabia",NA,"695",1,1954-02-23,"19615",NA,NA,4
"ARTTTT_1953A","ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-09-07","SYR","1953-09-07",NA,"Syria",NA,"695",1,1954-12-25,"19609",NA,NA,4
"IRQ-JOR[NA]_1953O","IRQ-JOR[NA]_1953O","Iraq Jordan","1953-01-01","IRQ","1953-01-01","1953-01-01","Iraq",NA,"500",1,NA,NA,NA,NA,1
"IRQ-JOR[NA]_1953O","IRQ-JOR[NA]_1953O","Iraq Jordan","1953-01-01","JOR","1953-01-01","1953-01-01","Jordan",NA,"500",1,NA,NA,NA,NA,1
