X;Title;Beg;Location;X.1;
1;South Africa Southern Rhodesia Customs Union;1948;;;
2;Bhutan India;1949;;;
3;El Salvador Nicaragua Free Trade Area;1951;;;
4;European Coal And Steel Community;1951;;;
5;Iraq Jordan;1953;;;
6;Arab Trade Convention Treaty On Transit Trade;1953;;;
7;Canada Portugal;1954;;;
8;Canada Spain;1954;;;
9;France Tunisia Customs Union Convention;1955;;;
10;Saudi Arabia Syria;1955;;;
11;EC;1957;;;
12;Iraq Saudi Arabia;1957;;;
13;Lebanon Saudi Arabia;1957;;;
14;Central American Free Trade Area (CAFTA);1958;;;
15;Benelux Economic Union;1958;;;
16;Egypt Saudi Arabia;1958;;;
17;Egypt Syria;1958;;;
18;Equatorial Customs Union;1959;;;
19;West African Customs Union (UDAO);1959;;;
20;Australia Canada;1960;;;
21;EFTA;1960;WTO (http://rtais.wto.org/UI/PublicSearchByCrResult.aspx);;
22;Finland USSR;1960;;;
23;Latin American Free Trade Area (LAFTA);1960;;;
24;Treaty Of Economic Association;1960;;;
25;Costa Rica Nicaragua Panama;1961;;;
26;EC Greece Association Agreement;1961;;;
27;EFTA Finland;1961;;;
28;Ghana Upper Volta Trade Agreement;1961;;;
29;Iraq Syria;1961;;;
30;African Common Market;1962;;;
31;Arab Common Market;1962;;;
32;Jordan Saudi Arabia;1962;;;
33;Senegal Tunisia;1962;;;
34;EC Turkey Association Agreement (Ankara Agreement);1963;;;
35;France Monaco;1963;;;
36;Yaounde 1;1963;;;
37;Morocco Senegal;1963;;;
38;Central African Customs And Economic Union (UDEAC);1964;;;
39;South Africa Zimbabwe;1964;;;
40;Mauritania Tunisia;1964;;;
41;Australia New Zealand Free Trade Agreement;1965;;;
42;Canada US Automotive Products Trade Agreement (APTA);1965;;;
43;Caribbean Free Trade Association (CARIFTA);1965;;;
44;Caribbean Free Trade Association (CARIFTA);1965;;;
45;Ireland UK Free Trade Area;1965;;;
46;Jordan Syria;1965;;;
47;Jordan Sudan;1966;;;
48;Customs And Economic Union Of West African States (UDEAO);1966;;;
49;Morocco Saudi Arabia;1966;;;
50;East African Community (EAC);1966;;;
51;Egypt Jordan;1967;;;
52;Iraq Lebanon;1967;;;
53;Malawi South Africa;1967;;;
54;TripArticlete Agreement;1967;;;
55;Arusha Agreement 1;1968;;;
56;East Caribbean Common Market;1968;;;
57;Andean Group Cartagena Agreement;1969;WTO (http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=127);;Beg date does not match with signature date in treaty text
58;Arusha Agreement 2;1969;;;
59;EC Morocco Association Agreement;1969;;;
60;EC Tunisia Association Agreement;1969;;;
61;Southern Africa Customs Union (SACU);1969;;;
62;Yaounde 2;1969;;;
63;Lebanon Sudan;1969;;;
64;EC Israel;1970;;;
65;EC Malta;1970;;;
66;EC Spain;1970;;;
67;EC Turkey Additional Protocol;1970;;;
68;EC Turkey Additional Protocol;1970;;;
69;EC Overseas Countries And Territories (OCT);1970;WTO (http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=148);;
70;Lebanon Saudi Arabia;1971;;;
71;Austria EC;1972;;;
72;Bhutan India;1972;;;
73;EC Egypt Agreement;1972;;;
74;EC Lebanon;1972;;;
75;EC Portugal;1972;;;
76;EC Sweden;1972;;;
77;Kuwait UAE;1972;;;
78;Caribbean Community (CARICOM);1973;WTO (http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=141);;
79;Costa Rica Panama;1973;;;
80;Costa Rica Panama;1973;;;
81;EC Turkey Supplementary Protocol;1973;;;
82;EC Turkey Supplementary Protocol;1973;;;
83;Nicaragua Panama;1973;;;
84;Algeria Morocco;1973;;;
85;Guyana Panama;1973;;;
86;West African Economic Community (CEAO);1973;;;
87;Bulgaria Finland;1974;;;
88;Czechoslovakia Finland;1974;;;
89;Finland Hungary;1974;;;
90;Guatemala Panama;1974;;;
91;Argentina Uruguay;1974;;;
92;EC Greece Additional Protocol;1975;;;
93;EC Greece Additional Protocol;1975;;;
94;EC Israel;1975;;;
95;Economic Community Of West African States (ECOWAS);1975;;;
96;Finland German Democratic Republic;1975;;;
97;Jordan Syria;1975;;;
98;Lome 1;1975;;;
99;Faroe Islands Sweden;1975;;;
