"","many_ID","Country_ID","Title","Beg","action","areas"
"1","EC OCT_0101O:EC OCT_0101O",NA,"EC OCT","1971",NA,NA
"2","EC OCT_0101O:EC OCT_0101O","AUT","EC OCT","1971",NA,NA
"3","EC OCT_0101O:EC OCT_0101O","BEL","EC OCT","1971",NA,NA
"4","EC OCT_0101O:EC OCT_0101O","BGR","EC OCT","1971",NA,NA
"5","EC OCT_0101O:EC OCT_0101O","CYP","EC OCT","1971",NA,NA
"6","EC OCT_0101O:EC OCT_0101O","CZE","EC OCT","1971",NA,NA
"7","EC OCT_0101O:EC OCT_0101O","DNK","EC OCT","1971",NA,NA
"8","EC OCT_0101O:EC OCT_0101O","EST","EC OCT","1971",NA,NA
"9","EC OCT_0101O:EC OCT_0101O","FIN","EC OCT","1971",NA,NA
"10","EC OCT_0101O:EC OCT_0101O","FRA","EC OCT","1971",NA,NA
"11","EC OCT_0101O:EC OCT_0101O","DEU","EC OCT","1971",NA,NA
"12","EC OCT_0101O:EC OCT_0101O","GRC","EC OCT","1971",NA,NA
"13","EC OCT_0101O:EC OCT_0101O","HUN","EC OCT","1971",NA,NA
"14","EC OCT_0101O:EC OCT_0101O","IRL","EC OCT","1971",NA,NA
"15","EC OCT_0101O:EC OCT_0101O","ITA","EC OCT","1971",NA,NA
"16","EC OCT_0101O:EC OCT_0101O","LVA","EC OCT","1971",NA,NA
"17","EC OCT_0101O:EC OCT_0101O","LTU","EC OCT","1971",NA,NA
"18","EC OCT_0101O:EC OCT_0101O","LUX","EC OCT","1971",NA,NA
"19","EC OCT_0101O:EC OCT_0101O","MLT","EC OCT","1971",NA,NA
"20","EC OCT_0101O:EC OCT_0101O","NLD","EC OCT","1971",NA,NA
"21","EC OCT_0101O:EC OCT_0101O","POL","EC OCT","1971",NA,NA
"22","EC OCT_0101O:EC OCT_0101O","PRT","EC OCT","1971",NA,NA
"23","EC OCT_0101O:EC OCT_0101O","ROU","EC OCT","1971",NA,NA
"24","EC OCT_0101O:EC OCT_0101O","SVK","EC OCT","1971",NA,NA
"25","EC OCT_0101O:EC OCT_0101O","SVN","EC OCT","1971",NA,NA
"26","EC OCT_0101O:EC OCT_0101O","ESP","EC OCT","1971",NA,NA
"27","EC OCT_0101O:EC OCT_0101O","SWE","EC OCT","1971",NA,NA
"28","EC OCT_0101O:EC OCT_0101O","GBR","EC OCT","1971",NA,NA
"29","EC OCT_0101O:EC OCT_0101O","AIA","EC OCT","1971",NA,NA
"30","EC OCT_0101O:EC OCT_0101O","ABW","EC OCT","1971",NA,NA
"31","EC OCT_0101O:EC OCT_0101O","IOT","EC OCT","1971",NA,NA
"32","EC OCT_0101O:EC OCT_0101O","CYM","EC OCT","1971",NA,NA
"33","EC OCT_0101O:EC OCT_0101O","FLK","EC OCT","1971",NA,NA
"34","EC OCT_0101O:EC OCT_0101O","PYF","EC OCT","1971",NA,NA
"35","EC OCT_0101O:EC OCT_0101O","ATF","EC OCT","1971",NA,NA
"36","EC OCT_0101O:EC OCT_0101O","GRL","EC OCT","1971",NA,NA
"37","EC OCT_0101O:EC OCT_0101O","MYT","EC OCT","1971",NA,NA
"38","EC OCT_0101O:EC OCT_0101O","MSR","EC OCT","1971",NA,NA
"39","EC OCT_0101O:EC OCT_0101O","NCL","EC OCT","1971",NA,NA
"40","EC OCT_0101O:EC OCT_0101O","PCN","EC OCT","1971",NA,NA
"41","EC OCT_0101O:EC OCT_0101O","SHN","EC OCT","1971",NA,NA
"42","EC OCT_0101O:EC OCT_0101O","SPM","EC OCT","1971",NA,NA
"43","EC OCT_0101O:EC OCT_0101O","SGS","EC OCT","1971",NA,NA
"44","EC OCT_0101O:EC OCT_0101O","TCA","EC OCT","1971",NA,NA
"45","EC OCT_0101O:EC OCT_0101O","VGB","EC OCT","1971",NA,NA
"46","EC OCT_0101O:EC OCT_0101O","WLF","EC OCT","1971",NA,NA
"47","NRTAFT_0101A","CAN","North American Free Trade Agreement (NAFTA)","1994","research",NA
"48","NRTAFT_0101A","MEX","North American Free Trade Agreement (NAFTA)","1994","research",NA
"49","NRTAFT_0101A","USA","North American Free Trade Agreement (NAFTA)","1994","research",NA
"50","ECLATV_0101O:ECLATV_0101O",NA,"EC Latvia","1995",NA,NA
"51","ECLATV_0101O:ECLATV_0101O","AUT","EC Latvia","1995",NA,NA
"52","ECLATV_0101O:ECLATV_0101O","BEL","EC Latvia","1995",NA,NA
"53","ECLATV_0101O:ECLATV_0101O","DNK","EC Latvia","1995",NA,NA
"54","ECLATV_0101O:ECLATV_0101O","FIN","EC Latvia","1995",NA,NA
"55","ECLATV_0101O:ECLATV_0101O","FRA","EC Latvia","1995",NA,NA
"56","ECLATV_0101O:ECLATV_0101O","DEU","EC Latvia","1995",NA,NA
"57","ECLATV_0101O:ECLATV_0101O","GRC","EC Latvia","1995",NA,NA
"58","ECLATV_0101O:ECLATV_0101O","IRL","EC Latvia","1995",NA,NA
"59","ECLATV_0101O:ECLATV_0101O","ITA","EC Latvia","1995",NA,NA
"60","ECLATV_0101O:ECLATV_0101O","LUX","EC Latvia","1995",NA,NA
"61","ECLATV_0101O:ECLATV_0101O","NLD","EC Latvia","1995",NA,NA
"62","ECLATV_0101O:ECLATV_0101O","PRT","EC Latvia","1995",NA,NA
"63","ECLATV_0101O:ECLATV_0101O","ESP","EC Latvia","1995",NA,NA
"64","ECLATV_0101O:ECLATV_0101O","SWE","EC Latvia","1995",NA,NA
"65","ECLATV_0101O:ECLATV_0101O","GBR","EC Latvia","1995",NA,NA
"66","ECLATV_0101O:ECLATV_0101O","LVA","EC Latvia","1995",NA,NA
"67","ECLTHN_0101O:ECLTHN_0101O",NA,"EC Lithuania","1995",NA,NA
"68","ECLTHN_0101O:ECLTHN_0101O","AUT","EC Lithuania","1995",NA,NA
"69","ECLTHN_0101O:ECLTHN_0101O","BEL","EC Lithuania","1995",NA,NA
"70","ECLTHN_0101O:ECLTHN_0101O","DNK","EC Lithuania","1995",NA,NA
"71","ECLTHN_0101O:ECLTHN_0101O","FIN","EC Lithuania","1995",NA,NA
"72","ECLTHN_0101O:ECLTHN_0101O","FRA","EC Lithuania","1995",NA,NA
"73","ECLTHN_0101O:ECLTHN_0101O","DEU","EC Lithuania","1995",NA,NA
"74","ECLTHN_0101O:ECLTHN_0101O","GRC","EC Lithuania","1995",NA,NA
"75","ECLTHN_0101O:ECLTHN_0101O","IRL","EC Lithuania","1995",NA,NA
"76","ECLTHN_0101O:ECLTHN_0101O","ITA","EC Lithuania","1995",NA,NA
"77","ECLTHN_0101O:ECLTHN_0101O","LUX","EC Lithuania","1995",NA,NA
"78","ECLTHN_0101O:ECLTHN_0101O","NLD","EC Lithuania","1995",NA,NA
"79","ECLTHN_0101O:ECLTHN_0101O","PRT","EC Lithuania","1995",NA,NA
"80","ECLTHN_0101O:ECLTHN_0101O","ESP","EC Lithuania","1995",NA,NA
"81","ECLTHN_0101O:ECLTHN_0101O","SWE","EC Lithuania","1995",NA,NA
"82","ECLTHN_0101O:ECLTHN_0101O","GBR","EC Lithuania","1995",NA,NA
"83","ECLTHN_0101O:ECLTHN_0101O","LTU","EC Lithuania","1995",NA,NA
"84","ECTRKY_0101O:ECTRKY_0101O",NA,"EC Turkey","1996",NA,NA
"85","ECTRKY_0101O:ECTRKY_0101O","AUT","EC Turkey","1996",NA,NA
"86","ECTRKY_0101O:ECTRKY_0101O","BEL","EC Turkey","1996",NA,NA
"87","ECTRKY_0101O:ECTRKY_0101O","DNK","EC Turkey","1996",NA,NA
"88","ECTRKY_0101O:ECTRKY_0101O","FIN","EC Turkey","1996",NA,NA
"89","ECTRKY_0101O:ECTRKY_0101O","FRA","EC Turkey","1996",NA,NA
"90","ECTRKY_0101O:ECTRKY_0101O","DEU","EC Turkey","1996",NA,NA
"91","ECTRKY_0101O:ECTRKY_0101O","GRC","EC Turkey","1996",NA,NA
"92","ECTRKY_0101O:ECTRKY_0101O","IRL","EC Turkey","1996",NA,NA
"93","ECTRKY_0101O:ECTRKY_0101O","ITA","EC Turkey","1996",NA,NA
"94","ECTRKY_0101O:ECTRKY_0101O","LUX","EC Turkey","1996",NA,NA
"95","ECTRKY_0101O:ECTRKY_0101O","NLD","EC Turkey","1996",NA,NA
"96","ECTRKY_0101O:ECTRKY_0101O","PRT","EC Turkey","1996",NA,NA
"97","ECTRKY_0101O:ECTRKY_0101O","ESP","EC Turkey","1996",NA,NA
"98","ECTRKY_0101O:ECTRKY_0101O","SWE","EC Turkey","1996",NA,NA
"99","ECTRKY_0101O:ECTRKY_0101O","GBR","EC Turkey","1996",NA,NA
"100","ECTRKY_0101O:ECTRKY_0101O","TUR","EC Turkey","1996",NA,NA
"101","ISR-SVK[SLV]_0101O:ISR-SVK[SLV]_0101O","ISR","Israel Slovak Republic","1997",NA,NA
"102","ISR-SVK[SLV]_0101O:ISR-SVK[SLV]_0101O","SVK","Israel Slovak Republic","1997",NA,NA
"103","CFTACB_0101O:CFTACB_0101O",NA,"CEFTA Accession Of Bulgaria","1999",NA,NA
"104","CFTACB_0101O:CFTACB_0101O","CZE","CEFTA Accession Of Bulgaria","1999",NA,NA
"105","CFTACB_0101O:CFTACB_0101O","HUN","CEFTA Accession Of Bulgaria","1999",NA,NA
