"","manyID","CountryID","Title","Beg"
"1","ZAF-ZWE[RCU]_1948O:ZAF-ZWE[RCU]_1948O","ZAF","South Africa Southern Rhodesia Customs Union","1948"
"2","ZAF-ZWE[RCU]_1948O:ZAF-ZWE[RCU]_1948O","ZWE","South Africa Southern Rhodesia Customs Union","1948"
"3","BTN-IND[NA]_1949O:BTN-IND[NA]_1949O","BTN","Bhutan India","1949"
"4","BTN-IND[NA]_1949O:BTN-IND[NA]_1949O","IND","Bhutan India","1949"
"5","NIC-SLV[FTA]_1951O:NIC-SLV[FTA]_1951O","SLV","El Salvador Nicaragua Free Trade Area","1951"
"6","NIC-SLV[FTA]_1951O:NIC-SLV[FTA]_1951O","NIC","El Salvador Nicaragua Free Trade Area","1951"
"7","ERPCSC_1951O:ERPCSC_1951O","BEL","European Coal And Steel Community","1951"
"8","ERPCSC_1951O:ERPCSC_1951O","FRA","European Coal And Steel Community","1951"
"9","ERPCSC_1951O:ERPCSC_1951O","DEU","European Coal And Steel Community","1951"
"10","ERPCSC_1951O:ERPCSC_1951O","ITA","European Coal And Steel Community","1951"
"11","ERPCSC_1951O:ERPCSC_1951O","LUX","European Coal And Steel Community","1951"
"12","ERPCSC_1951O:ERPCSC_1951O","NLD","European Coal And Steel Community","1951"
"13","IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O","IRQ","Iraq Jordan","1953"
"14","IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O","JOR","Iraq Jordan","1953"
"15","ARTTTT_1953A","EGY","Arab Trade Convention Treaty On Transit Trade","1953"
"16","ARTTTT_1953A","IRQ","Arab Trade Convention Treaty On Transit Trade","1953"
"17","ARTTTT_1953A","JOR","Arab Trade Convention Treaty On Transit Trade","1953"
"18","ARTTTT_1953A","KWT","Arab Trade Convention Treaty On Transit Trade","1953"
"19","ARTTTT_1953A","LBN","Arab Trade Convention Treaty On Transit Trade","1953"
"20","ARTTTT_1953A","SAU","Arab Trade Convention Treaty On Transit Trade","1953"
"21","ARTTTT_1953A","SYR","Arab Trade Convention Treaty On Transit Trade","1953"
"22","CAN-PRT[NA]_1954O:CAN-PRT[NA]_1954O","CAN","Canada Portugal","1954"
"23","CAN-PRT[NA]_1954O:CAN-PRT[NA]_1954O","PRT","Canada Portugal","1954"
"24","CAN-ESP[NA]_1954O:CAN-ESP[NA]_1954O","CAN","Canada Spain","1954"
"25","CAN-ESP[NA]_1954O:CAN-ESP[NA]_1954O","ESP","Canada Spain","1954"
